Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
96,0.024,0.0119,0.0014,0.0869,0.8758,0.0373,25.4409,0.0365,75.4501,15053.9604,74.977,0.0373,1.4465,0.0021,75.4501,2789.1338,28.4877,0.260979632,0.01,0.02
97,0.0175,0.0088,0.001,0.0871,0.8855,0.0273,18.8714,0.0267,75.4774,15072.8318,75.0038,0.0273,1.0417,0.0015,75.4774,2790.1756,28.4891,0.278685157,0.01,0.02
98,0.0125,0.0064,7.0E-4,0.0873,0.8932,0.0196,13.6575,0.0191,75.497,15086.4893,75.0229,0.0196,0.732,0.001,75.497,2790.9075,28.4902,0.296644902,0.01,0.02
99,0.0086,0.0045,5.0E-4,0.0874,0.899,0.0136,9.634,0.0133,75.5107,15096.1233,75.0362,0.0136,0.5013,7.0E-4,75.5107,2791.4088,28.4909,0.314743025,0.01,0.02
100,0.0058,0.0031,4.0E-4,0.0875,0.9033,0.0093,6.6181,0.0091,75.5199,15102.7414,75.0453,0.0093,0.3343,5.0E-4,75.5199,2791.7431,28.4913,0.332859664,0.01,0.02
101,0.0038,0.0021,2.0E-4,0.0875,0.9063,0.0061,4.4243,0.006,75.5261,15107.1657,75.0513,0.0061,0.217,3.0E-4,75.5261,2791.9601,28.4916,0.350874122,0.01,0.02
102,0.0025,0.0013,2.0E-4,0.0876,0.9085,0.0039,2.8765,0.0039,75.53,15110.0421,75.0551,0.0039,0.137,2.0E-4,75.53,2792.0971,28.4918,0.368668136,0.01,0.02
103,0.0015,8.0E-4,1.0E-4,0.0876,0.91,0.0025,1.8181,0.0024,75.5325,15111.8602,75.0575,0.0025,0.084,1.0E-4,75.5325,2792.1812,28.4919,0.386129015,0.01,0.02
104,9.0E-4,5.0E-4,1.0E-4,0.0876,0.9109,0.0015,1.1168,0.0015,75.534,15112.977,75.059,0.0015,0.0501,1.0E-4,75.534,2792.2313,28.492,0.403152488,0.01,0.02
105,5.0E-4,3.0E-4,0.0,0.0876,0.9115,9.0E-4,0.6666,9.0E-4,75.5349,15113.6436,75.0599,9.0E-4,0.029,0.0,75.5349,2792.2603,28.492,0.419645097,0.01,0.02
106,3.0E-4,2.0E-4,0.0,0.0876,0.9119,5.0E-4,0.3867,5.0E-4,75.5354,15114.0303,75.0604,5.0E-4,0.0164,0.0,75.5354,2792.2767,28.492,0.435526036,0.01,0.02
107,2.0E-4,1.0E-4,0.0,0.0876,0.9121,3.0E-4,0.2181,3.0E-4,75.5356,15114.2484,75.0606,3.0E-4,0.009,0.0,75.5356,2792.2856,28.492,0.450728361,0.01,0.02
108,1.0E-4,1.0E-4,0.0,0.0876,0.9122,2.0E-4,0.1196,2.0E-4,75.5358,15114.368,75.0608,2.0E-4,0.0048,0.0,75.5358,2792.2904,28.4921,0.46519957,0.01,0.02
109,0.0,0.0,0.0,0.0876,0.9123,1.0E-4,0.0638,1.0E-4,75.5359,15114.4319,75.0609,1.0E-4,0.0025,0.0,75.5359,2792.2929,28.4921,0.478901584,0.01,0.02
110,0.0,0.0,0.0,0.0876,0.9123,0.0,0.0166,0.0,75.5359,15114.4485,75.0609,0.0,6.0E-4,0.0,75.5359,2792.2935,28.4921,0.491810205,0.01,0.02
